City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,isafjordur,66.0755,-23.124,4.140000000000043,65,0,7.27,IS,1717126977
36,waitangi,-43.9535,-176.5597,9.900000000000034,79,12,2.24,NZ,1717126977
37,praia da vitoria,38.7333,-27.0667,18.75,82,40,4.84,PT,1717126977
38,aykhal,66.0,111.5,10.54000000000002,29,43,6.43,RU,1717126977
39,plopsoru,44.7833,23.35,14.82000000000005,88,30,1.05,RO,1717126977
40,marsh harbour,26.5412,-77.0636,27.110000000000014,62,29,3.43,BS,1717126977
41,perbaungan,3.5679,98.956,31.060000000000002,67,93,0.74,ID,1717126977
42,hermanus,-34.4187,19.2345,12.03000000000003,75,42,2.06,ZA,1717126978
43,ponta delgada,37.7333,-25.6667,19.400000000000034,77,20,3.6,PT,1717126978
44,daru,-9.0763,143.2092,27.160000000000025,86,86,7.35,PG,1717126978
45,udachny,66.4167,112.4,9.689999999999998,31,5,6.06,RU,1717126978
46,pakse,15.1167,105.7833,27.08000000000004,89,75,4.12,LA,1717126979
47,kwangmyong,37.4772,126.8664,25.83000000000004,49,20,4.12,KR,1717126979
48,santarem,-2.4431,-54.7083,24.07000000000005,100,0,1.03,BR,1717126792
49,paracale,14.2804,122.7881,31.220000000000027,67,100,3.29,PH,1717126979
50,zhelezinka,53.54,75.3072,9.689999999999998,47,24,2.53,KZ,1717126979
51,ingeniero jacobacci,-41.3427,-69.5448,5.5,78,100,3.68,AR,1717126979
52,hawaiian paradise park,19.5933,-154.9731,22.730000000000018,95,100,2.06,US,1717126980
53,eenhana,-17.4667,16.3333,9.689999999999998,46,0,3.1,NA,1717126980
54,tiksi,71.6872,128.8694,8.650000000000034,58,57,1.82,RU,1717126980
55,trzebinia,50.1593,19.4697,14.900000000000034,91,28,1.49,PL,1717126980
56,aleg,17.0481,-13.9209,25.150000000000034,42,23,5.94,MR,1717126980
57,kerikeri,-35.2268,173.9474,21.060000000000002,62,0,1.79,NZ,1717126980
58,maardu,59.4767,25.025,18.0,72,0,0.51,EE,1717126980
59,tolanaro,-25.0319,46.9987,21.04000000000002,83,20,8.23,MG,1717126980
60,ilulissat,69.2167,-51.1,-0.9899999999999523,69,9,3.09,GL,1717126981
61,oranjemund,-28.55,16.4333,11.840000000000032,85,23,3.45,NA,1717126981
62,susuman,62.7833,148.1667,10.550000000000011,25,40,3.13,RU,1717126981
63,pisco,-13.7,-76.2167,17.03000000000003,82,100,2.06,PE,1717126981
64,ushuaia,-54.8,-68.3,-0.18999999999999773,74,0,3.09,AR,1717126875
65,wailua homesteads,22.0669,-159.378,28.24000000000001,77,20,7.72,US,1717126981
66,papatowai,-46.5619,169.4708,15.180000000000007,64,100,4.71,NZ,1717126981
67,hasaki,35.7333,140.8333,19.220000000000027,95,100,12.1,JP,1717126981
